uid,sn,givenName,cn,displayName,userPassword,mail
john,Anderson,John,John,John,4dminP455w0rd!1,john@rosario.sis.edu
meryl,Johnson,Meryl,Meryl,Meryl,4dminP455w0rd!2,meryl@rosario.sis.edu
roger,Miller,Roger,Roger,Roger,4dminP455w0rd!3,roger@rosario.sis.edu
sarah,Lopez,Sarah,Sarah,Sarah,4dminP455w0rd!4,sarah@rosario.sis.edu
michael,Taylor,Michael,Michael,Michael,4dminP455w0rd!5,michael@rosario.sis.edu
david,Garcia,David,David,David,4dminP455w0rd!6,david@rosario.sis.edu
emily,Johnson,Emily,Emily,Emily,4dminP455w0rd!7,emily@rosario.sis.edu
jessica,Lewis,Jessica,Jessica,Jessica,4dminP455w0rd!8,jessica@rosario.sis.edu
daniel,King,Daniel,Daniel,Daniel,4dminP455w0rd!9,daniel@rosario.sis.edu
sophia,Walker,Sophia,Sophia,Sophia,4dminP455w0rd!10,sophia@rosario.sis.edu
emma,Davis,Emma,Emma,Emma,4dminP455w0rd!11,emma@rosario.sis.edu
liam,Lewis,Liam,Liam,Liam,4dminP455w0rd!12,liam@rosario.sis.edu
olivia,Adams,Olivia,Olivia,Olivia,4dminP455w0rd!13,olivia@rosario.sis.edu
noah,Adams,Noah,Noah,Noah,4dminP455w0rd!14,noah@rosario.sis.edu
ava,Davis,Ava,Ava,Ava,4dminP455w0rd!15,ava@rosario.sis.edu
isabella,Jackson,Isabella,Isabella,Isabella,4dminP455w0rd!16,isabella@rosario.sis.edu
ethan,Garcia,Ethan,Ethan,Ethan,4dminP455w0rd!17,ethan@rosario.sis.edu
mason,Johnson,Mason,Mason,Mason,4dminP455w0rd!18,mason@rosario.sis.edu
lucas,Adams,Lucas,Lucas,Lucas,4dminP455w0rd!19,lucas@rosario.sis.edu
mia,Sanchez,Mia,Mia,Mia,4dminP455w0rd!20,mia@rosario.sis.edu
charlotte,Lee,Charlotte,Charlotte,Charlotte,4dminP455w0rd!21,charlotte@rosario.sis.edu
amelia,Moore,Amelia,Amelia,Amelia,4dminP455w0rd!22,amelia@rosario.sis.edu
elijah,Martinez,Elijah,Elijah,Elijah,4dminP455w0rd!23,elijah@rosario.sis.edu
james,Taylor,James,James,James,4dminP455w0rd!24,james@rosario.sis.edu
benjamin,Johnson,Benjamin,Benjamin,Benjamin,4dminP455w0rd!25,benjamin@rosario.sis.edu
logan,Thompson,Logan,Logan,Logan,4dminP455w0rd!26,logan@rosario.sis.edu
alexander,Sanchez,Alexander,Alexander,Alexander,4dminP455w0rd!27,alexander@rosario.sis.edu
henry,Perez,Henry,Henry,Henry,4dminP455w0rd!28,henry@rosario.sis.edu
ella,Robinson,Ella,Ella,Ella,4dminP455w0rd!29,ella@rosario.sis.edu
grace,Carter,Grace,Grace,Grace,4dminP455w0rd!30,grace@rosario.sis.edu
hannah,Smith,Hannah,Hannah,Hannah,4dminP455w0rd!31,hannah@rosario.sis.edu
victoria,Thompson,Victoria,Victoria,Victoria,4dminP455w0rd!32,victoria@rosario.sis.edu
sebastian,Sanchez,Sebastian,Sebastian,Sebastian,4dminP455w0rd!33,sebastian@rosario.sis.edu
julian,Lewis,Julian,Julian,Julian,4dminP455w0rd!34,julian@rosario.sis.edu
leo,Allen,Leo,Leo,Leo,4dminP455w0rd!35,leo@rosario.sis.edu
chloe,Rodriguez,Chloe,Chloe,Chloe,4dminP455w0rd!36,chloe@rosario.sis.edu
aria,Allen,Aria,Aria,Aria,4dminP455w0rd!37,aria@rosario.sis.edu
abigail,Nelson,Abigail,Abigail,Abigail,4dminP455w0rd!38,abigail@rosario.sis.edu
zoe,Garcia,Zoe,Zoe,Zoe,4dminP455w0rd!39,zoe@rosario.sis.edu
aaron,Young,Aaron,Aaron,Aaron,4dminP455w0rd!40,aaron@rosario.sis.edu
barbara,Martinez,Barbara,Barbara,Barbara,4dminP455w0rd!41,barbara@rosario.sis.edu
catherine,Lopez,Catherine,Catherine,Catherine,4dminP455w0rd!42,catherine@rosario.sis.edu
diana,Robinson,Diana,Diana,Diana,4dminP455w0rd!43,diana@rosario.sis.edu
edward,White,Edward,Edward,Edward,4dminP455w0rd!44,edward@rosario.sis.edu
fiona,Davis,Fiona,Fiona,Fiona,4dminP455w0rd!45,fiona@rosario.sis.edu
george,Carter,George,George,George,4dminP455w0rd!46,george@rosario.sis.edu
helen,Nelson,Helen,Helen,Helen,4dminP455w0rd!47,helen@rosario.sis.edu
ian,Gonzalez,Ian,Ian,Ian,4dminP455w0rd!48,ian@rosario.sis.edu
